title,author,refer,Post Title,published_date,read_time
How to extract data from a website?,By Sarah Lang,https://www.zyte.com/blog/how-to-extract-data-from-a-website/,How to extract data from a website?,15-Jul-21,7
Van Buren: A victory for web scrapers,By Victoria Vlahoyiannis,https://www.zyte.com/blog/van-buren-a-victory-for-web-scrapers/,Van Buren: A victory for web scrapers,23-Jun-21,4
Zyte Developers Community newsletter issue #7,By Zyte team,https://www.zyte.com/blog/zyte-developers-community-newsletter-issue-7/,Zyte Developers Community newsletter issue #7,1-Jul-21,< 1
Zyte Developers Community newsletter issue #6,By Zyte team,https://www.zyte.com/blog/zyte-developers-community-newsletter-issue-6/,Zyte Developers Community newsletter issue #6,17-Jun-21,< 1
Zyte Developers Community newsletter issue #5,By Zyte team,https://www.zyte.com/blog/zyte-developers-community-newsletter-issue-5/,Zyte Developers Community newsletter issue #5,3-Jun-21,< 1
How web data can help fuel your dynamic pricing strategy,By Himanshi Bhatt,https://www.zyte.com/blog/how-web-data-can-fuel-your-dynamic-pricing-strategy/,How web data can help fuel your dynamic pricing strategy,17-Jun-21,3
Extracting article & news data: The importance of data quality,By Alexandra Harris,https://www.zyte.com/blog/news-api-blog-importance-of-article-quality/,Extracting article & news data: The importance of data quality,2-Jun-21,4
Extract JSONs like a pro with chompjs and JMESPath,By Roy Healy,https://www.zyte.com/blog/extract-json-using-chompjs-and-jmespath/,Extract JSONs like a pro with chompjs and JMESPath,3-Jun-21,3
Zyte Developers Community newsletter issue #8,By Zyte team,https://www.zyte.com/blog/zyte-developers-community-newsletter-issue-8/,Zyte Developers Community newsletter issue #8,15-Jul-21,2
Scale up your Scrapy projects with Smart Proxy Manager,By John Campbell,https://www.zyte.com/blog/scale-up-your-scrapy-projects-with-zyte-smart-proxy-manager-formerly-crawlera/,Scale up your Scrapy projects with Smart Proxy Manager,1-Jul-21,2
Alternative data for hedge funds & portfolio management,By John Campbell,https://www.zyte.com/blog/alternative-data-for-hedge-funds-portfolio-management/,Alternative data for hedge funds & portfolio management,13-May-21,7
Insurance & credit scoring with alternative data,By John Campbell,https://www.zyte.com/blog/insurance-credit-scoring-enhanced-with-alternative-data/,Insurance & credit scoring with alternative data,19-Mar-21,9
Zyte Developers Community newsletter issue #1,By Attila Toth,https://www.zyte.com/blog/zyte-developers-community-newsletter-issue-1/,Zyte Developers Community newsletter issue #1,29-Mar-21,2
Extract Summit 2021 - come join the web data revolution,By Marie Moynihan,https://www.zyte.com/blog/extract-summit-2021-come-join-the-web-data-revolution/,Extract Summit 2021 - come join the web data revolution,18-May-21,2
Zyte Developers Community newsletter issue #2,By Attila Toth,https://www.zyte.com/blog/zyte-developers-community-newsletter-issue-2/,Zyte Developers Community newsletter issue #2,"April 8, 2021",2
Zyte Developers Community newsletter issue #4,By Attila Toth,https://www.zyte.com/blog/zyte-developers-community-newsletter-issue-4/,Zyte Developers Community newsletter issue #4,21-May-21,< 1
Launching the Zyte Developers Community,By Attila Toth,https://www.zyte.com/blog/launching-the-zyte-developers-community/,Launching the Zyte Developers Community,11-Mar-21,< 1
Zyte Developers Community newsletter issue #3,By Attila Toth,https://www.zyte.com/blog/zyte-developers-community-newsletter-issue-3/,Zyte Developers Community newsletter issue #3,"April 28, 2021",< 1
The importance of web data and how to easily access it,By Alexandra Harris,https://www.zyte.com/blog/the-importance-of-web-data-and-how-to-easily-access-it/,The importance of web data and how to easily access it,11-May-21,4
News & article data extraction: Open source vs closed source solutions,By Attila Toth,https://www.zyte.com/blog/news-article-data-extraction-open-source-vs-closed-source-solutions/,News & article data extraction: Open source vs closed source solutions,10-Sep-20,7
Scrapy update: Better broad crawl performance,By Nikita Vostretsov,https://www.zyte.com/blog/scrapy-update-better-broad-crawl-performance/,Scrapy update: Better broad crawl performance,18-Feb-21,3
Dateparser: A little but powerful date parsing library,By Marc Hernandez Cabot,https://www.zyte.com/blog/dateparser-a-powerful-date-parsing-library/,Dateparser: A little but powerful date parsing library,6-May-21,3
A practical guide to web data QA part IV: Complementing semi-automated techniques,By Ivan Ivanov,https://www.zyte.com/blog/a-practical-guide-to-web-data-qa-part-iv-complementing-semi-automated-techniques/,A practical guide to web data QA part IV: Complementing semi-automated techniques,3-Sep-20,7
A practical guide to web data QA part V: Broad crawls,By Ivan Ivanov,https://www.zyte.com/blog/a-practical-guide-to-web-data-qa-part-v-broad-crawls/,A practical guide to web data QA part V: Broad crawls,30-Sep-20,8
Automatic Extraction: Better web data with less hassle,By Alexandra Harris,https://www.zyte.com/blog/automatic-extraction-data-extractor-review/,Automatic Extraction: Better web data with less hassle,25-Feb-21,5
Announcing the Web Data Extraction Summit 2020,By Himanshi Bhatt,https://www.zyte.com/blog/web-data-extraction-summit-2020/,Announcing the Web Data Extraction Summit 2020,24-Sep-20,3
"Hi, we’re Zyte!",By Shane Evans,https://www.zyte.com/blog/scrapinghub-is-now-zyte/,"Hi, we’re Zyte!",2-Feb-21,2
A practical guide to web data QA part III: Holistic data validation techniques,By Ivan Ivanov,https://www.zyte.com/blog/web-data-qa-part-iii-combining-manual-and-automated-techniques-for-holistic-data-validation/,A practical guide to web data QA part III: Holistic data validation techniques,9-Jun-20,7
Announcing The Web Data Extraction Summit 2020,By Himanshi Bhatt,https://www.zyte.com/blog/announcing-the-web-data-extraction-summit-2020/,Announcing The Web Data Extraction Summit 2020,30-Dec-20,3
Price gouging or economics at work: Price intelligence to track consumer sentiment,By Robert Cosgrave,https://www.zyte.com/blog/price-gouging-or-economics-at-work-price-intelligence-to-track-consumer-sentiment/,Price gouging or economics at work: Price intelligence to track consumer sentiment,11-Jun-20,4
Large scale web scraping,By Attila Toth,https://www.zyte.com/blog/large-scale-web-scraping/,Large scale web scraping,28-Jan-21,3
Irish data extraction innovator unveils new name – and new AI-powered Automatic Extraction service,By Zyte team,https://www.zyte.com/blog/press-release-scrapinghub-is-now-zyte/,Irish data extraction innovator unveils new name – and new AI-powered Automatic Extraction service,1-Feb-21,2
How to get high success rates with proxies: 3 steps to scale up,By Attila Toth,https://www.zyte.com/blog/how-to-get-high-success-rates-with-proxies-3-steps-to-scale-up/,How to get high success rates with proxies: 3 steps to scale up,14-Jul-20,3
Web scraping basics: A developer’s guide to reliably extract data,By Attila Toth,https://www.zyte.com/blog/web-scraping-basics-tools/,Web scraping basics: A developer’s guide to reliably extract data,7-Jul-20,7
Zyte Automatic Extraction job postings API: Stable release,By John Campbell,https://www.zyte.com/blog/job-postings-api-stable-release/,Zyte Automatic Extraction job postings API: Stable release,9-Jul-20,4
Data center proxies vs. residential proxies,By Attila Toth,https://www.zyte.com/blog/data-center-proxies-vs-residential-proxies/,Data center proxies vs. residential proxies,21-Jul-20,2
Blog comments API (BETA): Extract blog comment data at scale,By John Campbell,https://www.zyte.com/blog/blog-comments-api-beta-release/,Blog comments API (BETA): Extract blog comment data at scale,30-Jul-20,3
Your price intelligence questions answered,By Himanshi Bhatt,https://www.zyte.com/blog/price-intelligence-questions-answered/,Your price intelligence questions answered,28-Jul-20,3
Scrapy Cloud secrets: Hub Crawl Frontier and how to use it,By Julio Cesar Batista,https://www.zyte.com/blog/scrapy-cloud-secrets-hub-crawl-frontier-and-how-to-use-it/,Scrapy Cloud secrets: Hub Crawl Frontier and how to use it,6-Aug-20,6
Real estate: Use web data extraction to make smarter decisions,By Attila Toth,https://www.zyte.com/blog/web-scraping-real-estate-data-use-cases/,Real estate: Use web data extraction to make smarter decisions,27-Aug-20,5
COVID-19: Handling the situation as a fully remote company,By Suzanne Hassett,https://www.zyte.com/blog/covid-19-handling-the-situation-as-a-fully-remote-company/,COVID-19: Handling the situation as a fully remote company,13-Mar-20,2
Extracting clean article HTML with news API,By Ivan de Prado Alonso,https://www.zyte.com/blog/extracting-clean-article-html-with-autoextract/,Extracting clean article HTML with news API,12-Mar-20,9
Building spiders made easy: GUI for your Scrapy shell,By Roy Healy,https://www.zyte.com/blog/building-spiders-made-easy-gui-for-your-scrapy-shell/,Building spiders made easy: GUI for your Scrapy shell,3-Mar-20,4
A practical guide to web data QA part I: Validation techniques,By Ivan Ivanov,https://www.zyte.com/blog/guide-to-web-data-extraction-qa-validation-techniques/,A practical guide to web data QA part I: Validation techniques,24-Mar-20,7
Transitioning to remote working as a company,By Shane Evans,https://www.zyte.com/blog/transitioning-to-remote-working-as-a-company/,Transitioning to remote working as a company,25-Mar-20,8
Job postings beta API: Extract job postings at scale,By Attila Toth,https://www.zyte.com/blog/job-postings-at-scale-beta-api/,Job postings beta API: Extract job postings at scale,5-Mar-20,2
A practical guide to web data extraction QA part II: Common validation pitfalls,By Ivan Ivanov,https://www.zyte.com/blog/web-data-qa-common-validation-pitfalls/,A practical guide to web data extraction QA part II: Common validation pitfalls,"April 9, 2020",7
Custom crawling & News API: designing a web scraping solution,By Julio Cesar Batista,https://www.zyte.com/blog/extract-articles-at-scale-designing-a-web-scraping-solution/,Custom crawling & News API: designing a web scraping solution,"April 28, 2020",5
Vehicle API (beta): Extract automotive data at scale,By Attila Toth,https://www.zyte.com/blog/vehicle-api-launch/,Vehicle API (beta): Extract automotive data at scale,"April 16, 2020",3
Best recruitment tips: How to scout top talent,By Eric Burke,https://www.zyte.com/blog/recruitment-tips-to-find-top-talent/,Best recruitment tips: How to scout top talent,12-Feb-20,5
Introducing Zyte Smart Proxy Manager (formerly Crawlera) — free trials & new plans,By Pablo Hoffman,https://www.zyte.com/blog/introducing-zyte-smart-proxy-manager-crawlera-free-trials-new-plans/,Introducing Zyte Smart Proxy Manager (formerly Crawlera) — free trials & new plans,18-Feb-20,2
Product reviews API (beta): Extract product reviews at scale,By Attila Toth,https://www.zyte.com/blog/product-reviews-api-beta-extract-product-reviews-at-scale/,Product reviews API (beta): Extract product reviews at scale,19-May-20,3
News web data extraction to predict Irish election results,By Cristi Constantin,https://www.zyte.com/blog/news-web-data-extraction-to-predict-irish-election-results/,News web data extraction to predict Irish election results,24-Feb-20,6
How to scrape the web without getting blocked,By Attila Toth,https://www.zyte.com/blog/how-to-scrape-the-web-without-getting-blocked/,How to scrape the web without getting blocked,27-Feb-20,6
Looking back at 2019,By Attila Toth,https://www.zyte.com/blog/looking-back-at-2019/,Looking back at 2019,30-Jan-20,4
4 sectors that benefited most from business intelligence software,By Zyte team,https://www.zyte.com/blog/4-sectors-that-benefited-most-from-business-intelligence-software/,4 sectors that benefited most from business intelligence software,4-Dec-19,5
Price scraping: The best free tool to scrape prices,By Zyte team,https://www.zyte.com/blog/price-scraping-best-free-tool-to-scrape-prices/,Price scraping: The best free tool to scrape prices,26-Nov-19,3
How to use a proxy in Puppeteer,By Attila Toth,https://www.zyte.com/blog/how-to-use-a-proxy-in-puppeteer/,How to use a proxy in Puppeteer,23-Jan-20,3
How to leverage alternative data in asset management,By Marie Moynihan,https://www.zyte.com/blog/how-to-leverage-alternative-data-in-asset-management/,How to leverage alternative data in asset management,9-Jan-20,4
Backconnect proxy: Explanation & comparison to other proxies,By Zyte team,https://www.zyte.com/blog/backconnect-proxy/,Backconnect proxy: Explanation & comparison to other proxies,10-Dec-19,3
"Price intelligence with Python: Scrapy, SQL, and Pandas",By Zyte team,https://www.zyte.com/blog/price-intelligence-with-python-scrapy-sql-pandas/,"Price intelligence with Python: Scrapy, SQL, and Pandas",8-Oct-19,7
Gain a competitive edge with product data,By Zyte team,https://www.zyte.com/blog/gain-a-competitive-edge-with-product-data/,Gain a competitive edge with product data,12-Sep-19,3
Scrapy & Zyte Automatic Extraction API integration,By Zyte team,https://www.zyte.com/blog/scrapy-autoextract-api-integration/,Scrapy & Zyte Automatic Extraction API integration,15-Oct-19,2
The Web Data Extraction Summit 2019,By Zyte team,https://www.zyte.com/blog/the-web-data-extraction-summit-2019/,The Web Data Extraction Summit 2019,26-Sep-19,4
Four use cases for online public sentiment data,By Zyte team,https://www.zyte.com/blog/use-cases-for-online-public-sentiment-data/,Four use cases for online public sentiment data,5-Sep-19,2
News data extraction at scale with AI-powered Zyte Automatic Extraction,By Zyte team,https://www.zyte.com/blog/news-data-extraction-at-scale-with-ai-powered-autoextract/,News data extraction at scale with AI-powered Zyte Automatic Extraction,17-Sep-19,5
Learn how to configure and utilize proxies with Python requests module,By Attila Toth,https://www.zyte.com/blog/python-requests-proxy/,Learn how to configure and utilize proxies with Python requests module,22-Aug-19,3
Web scraping questions & answers part I,By Zyte team,https://www.zyte.com/blog/web-scraping-questions-answers-part-1/,Web scraping questions & answers part I,10-Oct-19,5
Web scraping questions & answers part II,By Zyte team,https://www.zyte.com/blog/web-scraping-questions-answers-part-2/,Web scraping questions & answers part II,17-Oct-19,5
How to set up a custom proxy in Scrapy?,By Zyte team,https://www.zyte.com/blog/scrapy-proxy/,How to set up a custom proxy in Scrapy?,8-Aug-19,4
The first-ever Web Data Extraction Summit!,By Zyte team,https://www.zyte.com/blog/the-first-web-data-extraction-summit/,The first-ever Web Data Extraction Summit!,29-Aug-19,3
"Scrapy, Matplotlib, and MySQL: Real estate data analysis",By Zyte team,https://www.zyte.com/blog/scrapy-matplotlib-and-mysql-real-estate-data-analysis/,"Scrapy, Matplotlib, and MySQL: Real estate data analysis",7-Nov-19,7
How to use Zyte Smart Proxy Manager (formerly Crawlera) with Scrapy,By Zyte team,https://www.zyte.com/blog/how-to-use-zyte-smart-proxy-manager-with-scrapy/,How to use Zyte Smart Proxy Manager (formerly Crawlera) with Scrapy,14-Nov-19,2
ScrapyRT: Turn websites into real-time APIs,By Zyte team,https://www.zyte.com/blog/scrapyrt-turn-websites-into-real-time-apis/,ScrapyRT: Turn websites into real-time APIs,14-May-19,4
Web data analysis: Exposing NFL player salaries with Python,By Zyte team,https://www.zyte.com/blog/web-data-analysis-exposing-nfl-player-salaries-with-python/,Web data analysis: Exposing NFL player salaries with Python,9-May-19,10
Solution architecture part 3: Conducting a web scraping legal review,By Sanaea Daruwalla,https://www.zyte.com/blog/solution-architecture-part-3-conducting-a-web-scraping-legal-review/,Solution architecture part 3: Conducting a web scraping legal review,23-May-19,6
GDPR update: Scraping public personal data,By Zyte team,https://www.zyte.com/blog/gdpr-public-personal-data-update/,GDPR update: Scraping public personal data,25-Jul-19,3
Visual web scraping tools: What to do when they are no longer fit for purpose?,By Zyte team,https://www.zyte.com/blog/visual-web-scraping-tools-what-to-do-when-they-are-no-longer-fit-for-purpose/,Visual web scraping tools: What to do when they are no longer fit for purpose?,30-May-19,6
Spidermon: Zyte's (formerly Scrapinghub) secret sauce to our data quality & reliability guarantee,By Zyte team,https://www.zyte.com/blog/spidermon-the-secret-sauce-to-our-data-quality-guarantee/,Spidermon: Zyte's (formerly Scrapinghub) secret sauce to our data quality & reliability guarantee,5-Mar-19,5
Solution architecture part 4: Accessing the technical feasibility of your web scraping project,By Colm Kenny,https://www.zyte.com/blog/solution-architecture-part-4-accessing-the-technical-feasibility-of-your-web-scraping-project/,Solution architecture part 4: Accessing the technical feasibility of your web scraping project,13-Jun-19,6
Solution architecture part 5: Designing a well-optimized web scraping solution,By Colm Kenny,https://www.zyte.com/blog/solution-architecture-part-5-designing-a-solution-estimating-resource-requirements/,Solution architecture part 5: Designing a well-optimized web scraping solution,4-Jul-19,6
St Patrick’s day special: Finding Dublin’s best pint of Guinness with web scraping,By Zyte team,https://www.zyte.com/blog/web-scraping-best-pint-of-guinness-dublin/,St Patrick’s day special: Finding Dublin’s best pint of Guinness with web scraping,15-Mar-19,6
Solution architecture part 2: How to define the scope of your web scraping project,By Colm Kenny,https://www.zyte.com/blog/web-scraping-requirement-gathering/,Solution architecture part 2: How to define the scope of your web scraping project,"April 5, 2019",8
Zyte’s (formerly Scrapinghub) new AI-powered Automatic Extraction API for e-commerce & article extraction,By Zyte team,https://www.zyte.com/blog/developer-data-extraction-api-for-product-article-extraction/,Zyte’s (formerly Scrapinghub) new AI-powered Automatic Extraction API for e-commerce & article extraction,"April 9, 2019",3
From the creators of Scrapy: Artificial intelligence data extraction API,By Zyte team,https://www.zyte.com/blog/artificial-intelligence-data-extraction-api/,From the creators of Scrapy: Artificial intelligence data extraction API,"April 11, 2019",4
Proxy management: Should I build my proxy infrastructure in-house or use an off-the-shelf proxy solution?,By Zyte team,https://www.zyte.com/blog/best-web-scraping-proxy-management-solution/,Proxy management: Should I build my proxy infrastructure in-house or use an off-the-shelf proxy solution?,21-Feb-19,7
Navigating compliance when extracting web scraped alternative data for finance,By Zyte team,https://www.zyte.com/blog/regulatory-compliance-for-alternative-web-scraped-financial-data/,Navigating compliance when extracting web scraped alternative data for finance,21-Mar-19,10
A sneak peek inside Zyte Smart Proxy Manager (formerly Crawlera): The world’s smartest web scraping proxy network,By Zyte team,https://www.zyte.com/blog/sneak-peek-inside-zyte-smart-proxy-manager-crawlera/,A sneak peek inside Zyte Smart Proxy Manager (formerly Crawlera): The world’s smartest web scraping proxy network,15-Feb-19,6
Why we created Zyte Smart Proxy Manager (formerly Crawlera)?,By Zyte team,https://www.zyte.com/blog/the-zyte-smart-proxy-manager-crawlera-story/,Why we created Zyte Smart Proxy Manager (formerly Crawlera)?,7-Feb-19,6
Meet Spidermon: Zyte's (formerly Scrapinghub) battle-tested spider monitoring library [now open-sourced],By Zyte team,https://www.zyte.com/blog/spidermon-scrapy-spider-monitoring/,Meet Spidermon: Zyte's (formerly Scrapinghub) battle-tested spider monitoring library [now open-sourced],1-Mar-19,6
GDPR compliance for web scrapers: The step-by-step guide,By Zyte team,https://www.zyte.com/blog/web-scraping-gdpr-compliance-guide/,GDPR compliance for web scrapers: The step-by-step guide,25-Jul-18,9
Data quality assurance for enterprise web scraping,By Zyte team,https://www.zyte.com/blog/data-quality-assurance-for-enterprise-web-scraping/,Data quality assurance for enterprise web scraping,27-Sep-18,7
Do what is right not what is easy!,By Zyte team,https://www.zyte.com/blog/gdpr-web-scraping-iiap-europe-data-protection-congress/,Do what is right not what is easy!,13-Dec-18,4
Looking back at 2018,By Zyte team,https://www.zyte.com/blog/looking-back-at-2018/,Looking back at 2018,21-Dec-18,4
What I learned as a Google Summer of Code student at Zyte (formerly Scrapinghub),By Zyte team,https://www.zyte.com/blog/what-i-learned-as-a-google-summer-of-code-student-at-zyte/,What I learned as a Google Summer of Code student at Zyte (formerly Scrapinghub),12-Sep-18,4
Shubber GetTogether 2018,By Zyte team,https://www.zyte.com/blog/shubber-gettogether-2018/,Shubber GetTogether 2018,22-Nov-18,3
